job_id,job_title,company_name,salary_year_avg,job_id (1),skill_id,skill_id (1),skills,type
1021647,Data Analyst (Hybrid/Remote),Uclahealthcareers,217000,1021647,215,215,flow,other
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,0,0,sql,programming
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,1,1,python,programming
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,8,8,go,programming
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,80,80,snowflake,cloud
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,93,93,pandas,libraries
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,94,94,numpy,libraries
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,181,181,excel,analyst_tools
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,182,182,tableau,analyst_tools
168310,Principal Data Analyst (Remote),SmartAsset,205000,168310,220,220,gitlab,other
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,0,0,sql,programming
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,1,1,python,programming
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,74,74,azure,cloud
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,76,76,aws,cloud
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,79,79,oracle,cloud
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,80,80,snowflake,cloud
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,182,182,tableau,analyst_tools
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,183,183,power bi,analyst_tools
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,189,189,sap,analyst_tools
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,211,211,jenkins,other
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,218,218,bitbucket,other
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,219,219,atlassian,other
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,233,233,jira,async
731368,"Director, Data Analyst - HYBRID",Inclusively,189309,731368,234,234,confluence,async
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,0,0,sql,programming
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,1,1,python,programming
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,5,5,r,programming
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,210,210,git,other
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,218,218,bitbucket,other
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,219,219,atlassian,other
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,233,233,jira,async
310660,"Principal Data Analyst, AV Performance Analysis",Motional,189000,310660,234,234,confluence,async
1749593,Principal Data Analyst,SmartAsset,186000,1749593,0,0,sql,programming
1749593,Principal Data Analyst,SmartAsset,186000,1749593,1,1,python,programming
1749593,Principal Data Analyst,SmartAsset,186000,1749593,8,8,go,programming
1749593,Principal Data Analyst,SmartAsset,186000,1749593,80,80,snowflake,cloud
1749593,Principal Data Analyst,SmartAsset,186000,1749593,93,93,pandas,libraries
1749593,Principal Data Analyst,SmartAsset,186000,1749593,94,94,numpy,libraries
1749593,Principal Data Analyst,SmartAsset,186000,1749593,181,181,excel,analyst_tools
1749593,Principal Data Analyst,SmartAsset,186000,1749593,182,182,tableau,analyst_tools
1749593,Principal Data Analyst,SmartAsset,186000,1749593,220,220,gitlab,other
387860,ERM Data Analyst,Get It Recruit - Information Technology,184000,387860,0,0,sql,programming
387860,ERM Data Analyst,Get It Recruit - Information Technology,184000,387860,1,1,python,programming
387860,ERM Data Analyst,Get It Recruit - Information Technology,184000,387860,5,5,r,programming
